rRNA_number,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c1rna11,2819,719,398,2673,6240,1668,24,171,60
c1rna112,25,20,6,19,0,2,0,0,1
c1rna113,2826,692,433,2589,6476,1600,34,190,84
c1rna118,4567,457,213,3698,2122,814,28,154,82
c1rna119,19,7,7,18,0,2,0,0,1
c1rna12,21,11,7,20,3,0,0,1,1
c1rna120,2833,681,435,2574,6278,1571,49,174,77
c1rna123,4558,457,272,3738,2452,873,34,159,85
c1rna124,13,3,1,14,6,3,0,1,1
c1rna125,2831,669,369,2673,6374,1587,22,169,71
c1rna127,4611,420,236,3705,2193,832,28,142,71
c1rna133,11,7,0,15,1,0,0,0,0
c1rna135,19,4,1,29,3,0,0,1,1
c1rna136,2755,670,374,2622,6265,1609,29,175,95
c1rna140,4620,443,231,3608,2242,833,31,137,80
c1rna141,16,2,4,17,3,1,0,1,1
c1rna142,2694,662,394,2474,6015,1510,38,150,75
c1rna146,4578,459,217,3678,2363,813,31,140,69
c1rna147,16,3,3,22,1,1,0,0,1
c1rna148,2821,696,349,2606,6355,1644,39,167,92
c1rna149,4541,433,210,3677,2304,828,37,151,76
c1rna34,4592,418,230,3662,2216,798,34,145,84
c1rna35,2836,709,413,2644,6297,1499,27,174,66
c1rna36,23,5,1,15,3,1,0,0,1
c1rna4,4565,412,247,3651,2211,724,34,150,87
c1rna6,2718,695,396,2619,6379,1663,24,171,93
c1rna7,19,7,3,20,2,0,0,0,1
c1rna8,4460,454,259,3655,2347,813,26,158,82
c1rna85,19,7,2,19,4,4,0,0,0
c1rna86,2731,647,383,2702,6249,1624,42,205,58
c1rna88,2558,369,194,2218,2059,796,27,144,87
c1rna90,16,12,6,23,3,2,0,0,0
c1rna91,2791,644,404,2693,6168,1605,23,187,82
c1rna94,4579,425,230,3530,2261,817,30,150,82
c2rna3,4626,450,244,3680,2259,841,26,142,76
c2rna7,2734,686,393,2504,6053,1522,22,180,75
c2rna8,18,3,1,29,1,1,0,0,0
__no_feature,17560945,18745848,21400614,19320790,17464699,4874387,965770,4867403,8928483
__ambiguous,0,0,0,1,0,0,0,0,0
__too_low_aQual,0,0,0,0,0,0,0,0,0
__not_aligned,837148,329405,1186279,695147,304057,142990,5380123,20792221,12754141
__alignment_not_unique,0,0,0,0,0,0,0,0,0
